age_class,N,pos,seropositive,ci_l,ci_u,age1,age2
"(0,2]",17,0,7.884924083390058e-12,4.453053480617387e-12,1.3961662053077426e-11,0,2
"(2,4]",59,3,0.050847457843177415,0.016667896623479093,0.14479572570941493,2.1,4
"(4,6]",62,2,0.03225806451618276,0.0077935413688356315,0.12392676365654437,4.1,6
"(6,8]",71,0,2.9007014654683202e-12,2.3072812693641234e-12,3.646746109150212e-12,6.1,8
"(8,10]",86,0,2.9007014654686502e-12,2.348562723542041e-12,3.5826460615371622e-12,8.1,10
"(10,12]",99,1,0.010101010102138493,0.0013820399745247,0.06997175317612683,10.1,12
"(12,14]",107,5,0.04672897272187144,0.019838006373337,0.10612469436826692,12.1,14
"(14,16]",106,3,0.028301886793125886,0.008998313776146967,0.08544580874021875,14.1,16
"(16,18]",102,8,0.0784313725490501,0.03955881899785519,0.14955412649103342,16.1,18
"(18,20]",100,8,0.08000000000001792,0.04004762858012093,0.1534389098016517,18.1,20
"(20,22]",85,2,0.023529411779494094,0.00574871747631077,0.09125774326276867,20.1,22
"(22,24]",97,6,0.061855670110133654,0.027651043058204528,0.1326016536880991,22.1,24
"(24,26]",93,9,0.09677419354838708,0.05045655011065654,0.17765512018430343,24.1,26
"(26,28]",67,6,0.08955223880597125,0.04011619144959086,0.1879789041868438,26.1,28
"(28,30]",75,9,0.12000000001735835,0.05891075325574629,0.2290212542462015,28.1,30
"(30,32]",76,7,0.0921052631578948,0.043844284828558934,0.18330469623923673,30.1,32
"(32,34]",70,5,0.07142857142889181,0.029873127570431285,0.16118584089915858,32.1,34
"(34,36]",82,16,0.19512195121952794,0.12293480863119281,0.295419768708056,34.1,36
"(36,38]",53,11,0.2075471698113997,0.11696059456703674,0.3411854429149685,36.1,38
"(38,40]",75,16,0.21333333333346635,0.13427787235518904,0.3216400939557813,38.1,40
"(40,42]",71,25,0.3521126760563497,0.25001594319283,0.46978588632726404,40.1,42
"(42,44]",43,12,0.279069767442317,0.1630993531904441,0.43467177358531867,42.1,44
"(44,46]",78,21,0.26923076923130573,0.1788074993940291,0.3839986987283811,44.1,46
"(46,48]",42,14,0.33333333333337833,0.20499444819834137,0.49226857630607884,46.1,48
"(48,50]",58,13,0.2241379310347511,0.13578925622541785,0.3468954680081928,48.1,50
"(50,52]",51,23,0.45098039227200554,0.3181991525666743,0.5911302078863139,50.1,52
"(52,54]",27,12,0.44444444471515654,0.2651418314730631,0.6394840584733033,52.1,54
"(54,56]",66,21,0.3181818181819265,0.21584542046102534,0.4417071743393458,54.1,56
"(56,58]",27,14,0.5185185185183837,0.3207433246488853,0.7106563357963362,56.1,58
"(58,60]",41,10,0.24390243902490427,0.13393957635471482,0.40221645871359973,58.1,60
"(60,62]",44,15,0.34090909090911803,0.21645424244159844,0.49199044272308096,60.1,62
"(62,64]",28,10,0.357142857142865,0.19825949962060863,0.5551830137919623,62.1,64
"(64,66]",39,8,0.20512820512826652,0.10363224632317139,0.3654958050303568,64.1,66
"(66,68]",7,2,0.2857142857146758,0.04908128485459744,0.7560915144203826,66.1,68
"(68,70]",25,10,0.40000000000000013,0.22300776002451314,0.6076139558955986,68.1,70
"(70,72]",22,10,0.45454545461403756,0.2548435046117371,0.6700257436948502,70.1,72
"(72,74]",12,1,0.08333333333333877,0.009038087872548114,0.4753794083123223,72.1,74
"(74,76]",11,5,0.4545454546140374,0.1777293283987048,0.7626321479428522,74.1,76
"(76,106]",20,10,0.5,0.2717770512784209,0.7282229487215791,76.1,106
